"filename" "count" "list"
"113" "J2DoPrivHelper.java" 15 "142, 582, 2519, 2619, 2844, 2974, 3034, 3424, 3449, 3628, 3692, 3714, 4140, 5336, 5576"
"114" "TableJDBCSeq.java" 35 "143, 273, 488, 503, 869, 870, 875, 877, 881, 1135, 1494, 1830, 1901, 2047, 2261, 2403, 2594, 2671, 2757, 3073, 3081, 3083, 3209, 3216, 3454, 3515, 3620, 4224, 4273, 4328, 4695, 4877, 5301, 5680, 5890"
"115" "AbstractStoreQuery.java" 9 "144, 1275, 1950, 2912, 4458, 4903, 5233, 5497, 5643"
"116" "DelegatingQuery.java" 9 "145, 669, 717, 1642, 4219, 4904, 5078, 5234, 5745"
"117" "ExpressionStoreQuery.java" 10 "146, 1279, 1951, 2498, 4459, 4905, 5056, 5235, 5498, 5592"
"118" "QueryContext.java" 6 "147, 718, 4220, 4906, 5237, 5746"
"119" "XMLMetaDataParser.java" 25 "149, 219, 264, 325, 745, 1094, 1304, 1543, 1812, 1976, 2094, 2326, 2415, 2474, 2516, 2843, 3622, 3686, 3847, 4092, 4426, 5151, 5285, 5587, 5707"
"120" "JNDIManagedRuntime.java" 6 "155, 305, 1293, 3419, 5175, 5916"
"121" "AccountingHierarchy.java" 1 "157"
"122" "AccountingHierarchyRate.java" 1 "158"
"123" "AccountingHierarchyRateOpenJPAKey.java" 1 "159"
"124" "TestMergeComplexKey.java" 1 "160"
"125" "DistributedStoreManager.java" 15 "161, 1032, 1068, 1112, 1271, 1535, 1611, 2732, 3583, 3879, 3950, 5157, 5631, 5824, 5897"
"126" "TestQuery.java" 11 "163, 888, 1114, 2100, 2141, 2442, 2834, 3093, 3374, 5726, 5905"
"127" "Services.java" 5 "168, 1799, 3701, 4085, 5136"
"128" "AccountDataBean.java" 1 "169"
"129" "AbstractVisitable.java" 2 "170, 1692"
"130" "ArrayExpression.java" 2 "171, 1694"
"131" "BinaryExpressionPredicate.java" 4 "172, 829, 1695, 5596"
"132" "BinaryOperatorExpression.java" 4 "173, 830, 1696, 5597"
"133" "CaseExpressionImpl.java" 3 "174, 831, 5599"
"134" "ExpressionImpl.java" 8 "174, 175, 831, 833, 1697, 4750, 5599, 5602"
"135" "FetchPath.java" 4 "176, 834, 1698, 5603"
"136" "JoinPath.java" 4 "177, 836, 1699, 5605"
"137" "LikeExpression.java" 4 "178, 837, 1700, 5606"
"138" "LocateExpression.java" 4 "179, 838, 1701, 5607"
"139" "NavigationPath.java" 3 "180, 839, 5608"
"140" "QueryBuilderImpl.java" 4 "181, 843, 1705, 5612"
"141" "DistributedBrokerImpl.java" 24 "182, 199, 347, 604, 923, 1050, 1315, 1399, 1534, 1610, 2554, 2645, 2693, 2975, 3011, 3580, 4319, 4421, 4549, 4850, 5630, 5692, 5822, 5896"
"142" "persistence.xml" 21 "183, 355, 442, 489, 805, 1038, 1218, 1930, 2099, 2343, 2520, 2597, 3252, 3270, 3794, 4199, 4390, 4453, 5002, 5374, 5557"
"143" "TestTimestampVersion.java" 4 "187, 1925, 4649, 4897"
"144" "MappingRepository.java" 36 "188, 288, 576, 1023, 1175, 1257, 1738, 1834, 2107, 2222, 2531, 2533, 2579, 2698, 2818, 2969, 3198, 3247, 3275, 3383, 3542, 3602, 3632, 3693, 3735, 3984, 4642, 4813, 4847, 5047, 5079, 5121, 5140, 5806, 5878, 5977"
